# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jul 17 16:11:11 2023
#
# User preference: *
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN sy_dist:        Distance [pc]
#
pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,sy_dist
,1.210000,5434.70000,17.10000,93.1846000
326.03000000,1.290000,6165.60000,19.40000,93.1846000
,1.510000,3432.40000,10.80000,125.3210000
516.21997000,1.530000,4684.81420,14.74000,125.3210000
516.22000000,1.540000,3337.07000,10.50000,125.3210000
,0.680000,1017.00000,3.20000,75.4392000
185.84000000,0.830000,1525.50000,4.80000,75.4392000
1765.03890000,2.774000,2559.47216,8.05300,17.9323000
,2.730000,1440.66300,4.53300,17.9323000
1773.40000000,2.770000,1474.67000,4.64000,17.9323000
1796.40000000,2.800000,1506.45000,4.74000,17.9323000
1766.41000000,2.830000,1541.46777,4.85000,17.9323000
1724.00000000,2.820000,1554.12000,4.89000,17.9323000
1773.40002000,2.930000,1481.08780,4.66000,17.9323000
1766.00000000,2.864000,1581.13800,4.97500,17.9323000
800.80000000,1.600000,476.70000,1.50000,21.1397000
799.50000000,1.680000,533.93000,1.68000,21.1397000
798.50000000,1.660000,565.73740,1.78000,21.1397000
799.45000000,1.676000,556.83537,1.75200,21.1397000
798.50000000,1.681000,533.95440,1.68000,21.1397000
799.50000000,1.680000,533.93000,1.68000,21.1397000
578.38000000,1.450000,1373.01872,4.32000,124.9530000
,2.540000,3127.30000,9.84000,76.2220000
993.30000000,2.600000,3273.50000,10.30000,76.2220000
,330.000000,3000.00000,8.00000,139.1350000
,330.000000,2543.00000,8.00000,139.1350000
,330.000000,4000.00000,12.00000,139.1350000
,330.000000,3000.00000,8.00000,139.1350000
30.35060000,0.190000,289.22530,0.91000,95.9863000
452.80000000,1.333000,632.46000,1.99000,72.0691000
883.00000000,2.080000,273.32000,0.86000,72.0691000
,118.000000,1271.31363,4.00000,128.4840000
,84.000000,4131.79000,13.00000,
,,,,33.8281000
,52.000000,7786.50000,24.50000,33.8281000
,156.000000,4417.83700,13.90000,
,15.000000,2383.60000,7.50000,
,55.000000,1589.15000,5.00000,64.3080000
,46.000000,1271.00000,4.00000,64.3080000
406.00000000,,591.16084,1.86000,396.3320000
416.00000000,0.920000,603.87700,1.90000,396.3320000
,230.000000,3972.87500,12.50000,69.5737000
335.10000000,0.995000,3140.03000,9.88000,44.6570000
345.40000000,1.010000,2097.67800,6.60000,44.6570000
335.10001000,0.990000,4392.41060,13.82000,44.6570000
269.30000000,0.870000,2256.50000,7.10000,73.4603000
479.10000000,1.190000,1233.13000,3.88000,90.6545000
